case_id,expected_priority,expected_action,notes
C-03470,P0,Immediate escalation,synthetic gold; risk=0.82
C-19557,P0,Immediate escalation,synthetic gold; risk=1.00
C-03560,P0,Immediate escalation,synthetic gold; risk=0.80
C-04657,P0,Immediate escalation,synthetic gold; risk=0.85
C-00796,P0,Immediate escalation,synthetic gold; risk=0.94
C-09848,P0,Immediate escalation,synthetic gold; risk=0.86
C-01628,P0,Immediate escalation,synthetic gold; risk=0.85
C-02183,P0,Immediate escalation,synthetic gold; risk=0.90
C-19227,P0,Immediate escalation,synthetic gold; risk=0.86
C-10731,P0,Immediate escalation,synthetic gold; risk=0.83
C-10102,P0,Immediate escalation,synthetic gold; risk=0.85
C-09460,P0,Immediate escalation,synthetic gold; risk=0.92
C-01253,P0,Immediate escalation,synthetic gold; risk=0.92
C-05030,P0,Immediate escalation,synthetic gold; risk=0.88
C-13405,P0,Immediate escalation,synthetic gold; risk=0.83
C-10343,P0,Immediate escalation,synthetic gold; risk=0.93
C-02568,P0,Immediate escalation,synthetic gold; risk=0.84
C-18541,P0,Immediate escalation,synthetic gold; risk=0.95
C-06679,P0,Immediate escalation,synthetic gold; risk=0.82
C-09875,P0,Immediate escalation,synthetic gold; risk=1.00
C-02875,P0,Immediate escalation,synthetic gold; risk=0.85
C-17171,P0,Immediate escalation,synthetic gold; risk=0.91
C-10838,P0,Escalate for investigation,synthetic gold; risk=0.82
C-17224,P0,Immediate escalation,synthetic gold; risk=0.85
C-03568,P0,Immediate escalation,synthetic gold; risk=0.89
C-08066,P0,Immediate escalation,synthetic gold; risk=1.00
C-10144,P0,Immediate escalation,synthetic gold; risk=0.86
C-13167,P0,Immediate escalation,synthetic gold; risk=0.82
C-00289,P0,Immediate escalation,synthetic gold; risk=0.91
C-01000,P0,Immediate escalation,synthetic gold; risk=0.84
C-09468,P0,Immediate escalation,synthetic gold; risk=0.88
C-13440,P0,Immediate escalation,synthetic gold; risk=1.00
C-11242,P0,Immediate escalation,synthetic gold; risk=0.89
C-19474,P0,Escalate for investigation,synthetic gold; risk=0.96
C-03321,P0,Immediate escalation,synthetic gold; risk=0.87
C-20000,P0,Immediate escalation,synthetic gold; risk=1.00
C-09160,P0,Immediate escalation,synthetic gold; risk=0.92
C-17028,P0,Immediate escalation,synthetic gold; risk=0.89
C-08681,P0,Immediate escalation,synthetic gold; risk=0.89
C-12663,P0,Immediate escalation,synthetic gold; risk=0.84
C-19799,P1,Route to legal review,synthetic gold; risk=0.64
C-04571,P1,Escalate for investigation,synthetic gold; risk=0.66
C-02467,P1,Escalate for coverage review,synthetic gold; risk=0.80
C-10116,P1,Escalate for investigation,synthetic gold; risk=0.78
C-07101,P1,Escalate for coverage review,synthetic gold; risk=0.77
C-16335,P1,Route to legal review,synthetic gold; risk=0.73
C-08251,P1,Escalate for investigation,synthetic gold; risk=0.75
C-04146,P1,Escalate for coverage review,synthetic gold; risk=0.76
C-15368,P1,Escalate for investigation,synthetic gold; risk=0.73
C-08799,P1,Escalate for investigation,synthetic gold; risk=0.66
